VideoID,Sponsored,Sentiment,Transcription,Sentiment_RoBERTa,Probability
7215716180294683946,Yes,Postive," The confidence boost, a glowy and dewy base gives me is unreal. This is exactly what the Charlotte Tilbury Magic Cream does for me. Especially when my skin is feeling extra dry, I love to slather this all over my face. So doing a little sculpting with the cream, this is the Charlotte Tilbury Magic Way to use the cream. The most important thing is that this cream is amazing underneath makeup as a primer. My skin always looks so good whenever I use this cream as a primer. Most importantly, my acne prone texture skin absolutely loves this.",POSITIVE,0.9988881945610046
7210487841732840746,Yes,Positive," Watch how I create this glowing skin makeup base using Charlotte Tilbury's Magic Cream. So this is how my skin looks like before. I have dry skin, especially during the winter, so I need a lot of hydration. I love this cream. I've been a fan for years. I love using it before applying makeup. I make sure to massage the cream into my face. And you can see that my skin is instantly plump and hydrated. So I applied some light makeup with concealer and blush, and now I'm using the Magic Cream as a highlighter. My skin is glowing under makeup thanks to Charlotte Tilbury's Magic Cream.",POSITIVE,0.9988906979560852
7218032675850849582,Yes,Positive," I get why this cream by Charlotte Tilbury is called Magic Cream, okay? This is one of my favorite creams to use, especially under my makeup. It's formulae with hyaluronic acid, vitamin C, and E anapeptide complex to provide hydrated, brightened, and plump skin. It also smoothens out my texture and minimizes my fine lines almost immediately, which is one of the reasons why I think this cream is actual magic. Seriously, my makeup and my skin look amazing every time I use this.",POSITIVE,0.9988856911659241
7102205817524555054,Yes,Positive, Thanks for watching guys!,POSITIVE,0.9987996816635132
7220512664575986990,Yes,Positive, I love it. I love it more. I love it!,POSITIVE,0.9988592863082886
7076144169172864299,Yes,Positive," I finally got my hands on Charlotte Tilbury's Magic Cream and I'm gonna try it today. Now there's a lot of hype around this product. I have really high expectations for it. Apparently it's like one's youth in a bottle so we're gonna put that to the test, Charly. Mmm, oh my god, I can't explain the smell. It reminds me of my Charlyl put. A yum. Oh she's thick. I already have the rest of my skincare on. Oh my god. Did you see that? Wait, wow. Blurred my entire face. Although it looks blurred, you can hear it. You can hear the hydration. So far so good. Now we need to try it under makeup. This is what it looks like under my makeup. I mean look at that base. It's very airbrush. You can see how hydrated and plump my skin looks. I did not know a cream could do this. Blurred everything perfectly but then also keeps me hydrated. I have never come across a cream like this that does what this one does. So if you're looking for Magic in a jar, this one is it. Here a dry girl like me give this a go. Promise you won't be disappointed.",POSITIVE,0.9982224106788635
7208629575893503238,Yes,Positive, So here's my new hair everything you say You got some soft lips and some pearly white I wanna touch and make it better for you Your smiling lips is like a candlelight The rest of my one or everything's alright,POSITIVE,0.9970034956932068
7124817228926602538,Yes,Positive, Here's how I get clear and glowing skin. Step one is this glow toner. I use it AM and PM after I wash my face. It reduces the look of pores and it makes my skin feel baby soft. Next is this magic serum and wait for it. This hydrates my skin. Look at how do we in glowy it makes my skin look. I love this serum because it gives me all the glow. Then I finish off with this moisturizer. This cream is so hydrating and it's also the perfect base for makeup and done.,POSITIVE,0.9988652467727661
7131089775624211755,Yes,Positive," If your base looks like this, you can now do your makeup. Look how trailed it till the very serum transforms my skin. Like what? Then you top it off with a magic cream. This stuff is truly magic. It brought so much color back into my skin.",POSITIVE,0.9988573789596558
7215290526906567941,Yes,Positive," No matter how my acne or acne scars are doing, one thing that always makes you feel so much better in my skin is having that really glowy hydrated look. I swear this just makes my skin look so much better and make sure I'm not focusing on my acne or acne sky and just seeing that beauty in the glow behind my skin. And I love when my skin feels nourished and hydrated, but I also love it when it's just given that really glowy look literally instantly. Just sculpting with it and then just top all over. And the glow this gives my skin is insane. Ooh, look at that glowy skin it gave me. I love when my scars are like this because it has ingredients like vitamin C. I don't want it to acid and even peptide complex so it'll really help kind of plump up your skin throughout the day and your skin will feel three times more hydrated in just one hour. Remember to tell yourself something you love about your skin today. Bye.",POSITIVE,0.9988952279090881
