,urls,video_ids
0,https://vm.tiktok.com/ZGJ9guP7t/?t=2,7215716180294683946
1,https://vm.tiktok.com/ZGJ9gkRhu/?t=2,7210487841732840746
2,https://vm.tiktok.com/ZGJ9gDwnb/?t=2,7218032675850849582
3,https://vm.tiktok.com/ZGJ9gVekA/?t=2,7102205817524555054
4,https://vm.tiktok.com/ZGJ9gAvkW/?t=2,7220512664575986990
5,https://vm.tiktok.com/ZGJ9gk7Q4/?t=2,7076144169172864299
6,https://vm.tiktok.com/ZGJ9gVwwW/?t=2,7208629575893503238
7,https://vm.tiktok.com/ZGJ9gHdRf/?t=2,7124817228926602538
8,https://vm.tiktok.com/ZGJ9ggDNj/?t=2,7131089775624211755
9,https://vm.tiktok.com/ZGJ9g4XR9/?t=2,7215290526906567941
10,https://vm.tiktok.com/ZGJ9gPPu5/?t=2,7216794255778467077
11,https://vm.tiktok.com/ZGJ9gPSux/?t=2,7212391209447312682
12,https://vm.tiktok.com/ZGJ9gqeJJ/?t=2,7127371121778806022
13,https://vm.tiktok.com/ZGJ9gVV7t/?t=2,7124338838503279914
14,https://vm.tiktok.com/ZGJ9gqjhy/?t=2,7124357659771505966
15,https://vm.tiktok.com/ZGJ9pdReS/?t=2,7227193522351246598
16,https://vm.tiktok.com/ZGJ9gEuyB/?t=2,7203842024091569450
17,https://vm.tiktok.com/ZGJ9p1RB7/?t=2,7216750982020189486
18,https://vm.tiktok.com/ZGJ9pdg7K/?t=2,7214550605703154990
19,https://vm.tiktok.com/ZGJ9pJkt9/?t=2,7207593836858641710
20,https://vm.tiktok.com/ZGJ9goJaS/?t=2,7211114793229569286
21,https://vm.tiktok.com/ZGJ9gpS9f/?t=2,7129699744925879554
22,https://vm.tiktok.com/ZGJ9gv8CD/?t=2,7070162913067109674
23,https://vm.tiktok.com/ZGJ9gtDhv/?t=2,7206371547970407722
24,https://vm.tiktok.com/ZGJ9gGAnn/?t=2,7070296993783942443
25,https://vm.tiktok.com/ZGJ9gtpJH/?t=2,7207173046430354734
26,https://vm.tiktok.com/ZGJ9gs8DJ/?t=2,7036790343261506862
27,https://vm.tiktok.com/ZGJ9g7oQs/?t=2,7075469917625077034
28,https://vm.tiktok.com/ZGJ9gc12j/?t=2,7212287843815656710
29,https://vm.tiktok.com/ZGJ9gorFC/?t=2,7165250744172465454
30,https://vm.tiktok.com/ZGJ9p1fns/?t=2,7125517181231582510
31,https://vm.tiktok.com/ZGJ9gpcvD/?t=2,7166440973319310634
32,https://vm.tiktok.com/ZGJ9gWxaE/?t=2,7221623735885909291
33,https://vm.tiktok.com/ZGJ9gvdox/?t=2,7214606448704179498
34,https://vm.tiktok.com/ZGJ9g7vb2/?t=2,7175605719482338602
35,https://vm.tiktok.com/ZGJ9pCoVu/?t=2,7105468967698976042
36,https://vm.tiktok.com/ZGJ9pXgW8/?t=2,7226413427470667051
37,https://vm.tiktok.com/ZGJ9pPrSJ/?t=2,7228220133955898670
38,https://vm.tiktok.com/ZGJ9p6Crr/?t=2,7103547108795501866
39,https://vm.tiktok.com/ZGJ9pyp5K/?t=2,7211172582744296750
40,https://vm.tiktok.com/ZGJ9p17o2/?t=2,7179312232814136582
41,https://vm.tiktok.com/ZGJ9gvNox/?t=2,7212693182318906629
42,https://vm.tiktok.com/ZGJ9goX7j/?t=2,7227905103821344042
43,https://vm.tiktok.com/ZGJ9pL6h3/?t=2,7141347073915374853
44,https://vm.tiktok.com/ZGJ9p1CKw/?t=2,7219073048287153413
